title,url,publish_date,source,category,title_clean,vader_score,vader_label
Prihatin! 2 Hari Berturut-turut IHSG Anjlok 1% Lebih - CNBC Indonesia,https://news.google.com/rss/articles/CBMisAFBVV95cUxPa3FXNWtpcE1MQ3Z5WGxrdFNfVTNFMzF6YnlFcjNka2dwUmdpcmVpUGZIT2lmU3RTNEk2bWpmNTNzT0VNTm1MWEQ2S2tpdktsMWFtYkN1dkhpVi1vRXFST1djU0c4eWktY21jZWlDcGVnRXFkd0pIcElCY1RxVFNtY1JKSTI5aG9mdndhWHJEeGtpZnQxWVdwU2d1aENlR2ZwX24xTkNNTHJ5a3ZEamdZZw?oc=5,2019-05-03,CNBC Indonesia,Ekonomi,prihatin hari berturutturut ihsg anjlok lebih cnbc indonesia,0.0,neutral
"IHSG hari ini diprediksi melemah, kenapa? - kontan.co.id",https://news.google.com/rss/articles/CBMigAFBVV95cUxOMDFwVzBMc2Y0S0tZRHQtSTJfa01uUW8zWFVmN0xWZmFDaTh5eGdPTl9kUGFJZTFZWUdUbDAwb0Y2YzhWb3hTdmlCS0dDSnB4eDNQM3FSZFFFYUN3OHVvdXFnVXBZZ05yekc4U3VuaVhtb2VTUG5ucm03VGs2RGV4ddIBeEFVX3lxTE5UZ1c4aWdEbmtHS0RERXNXcVA2aG9EX2g1Mlk5TWdGSkRkQkNJYzEtbERKRXB5aTc0WTlVcW5hazN4WDN4MEVKSnUwVGZvQ1l0T0tPSlRPZnZOVS10T0xZT01xU1dvT0FmX29rS0xLV3NkZmMxUTk4WQ?oc=5,2019-11-12,kontan.co.id,Ekonomi,ihsg hari diprediksi melemah kontancoid,0.0,neutral
"Neraca Dagang Terburuk Sepanjang Sejarah, IHSG Anjlok 1,01% - CNBC Indonesia",https://news.google.com/rss/articles/CBMiuAFBVV95cUxPd2xiOXU5Y1Q4QjJyblkwTWZlSkpPbnBERUVfMUotazVGMVY3ZTFrWWcwemU1YldQZWpaNnV2S0ZQeUJpRXc5Z1VsRDhUTjV4OUp3am5XOTVqZEJQb2I3WTluSXhWVlJDNDUxY1g0cjgzNnRRTE1RZ3JFVXZZRlRBOXAxNmVUbl9PVjRUX3A5UlpSbTctdzBjeGt5ZVhPNEVSRnY4RFRCQU1ncmhOczhSeHpCQlNULUpj?oc=5,2019-05-15,CNBC Indonesia,Ekonomi,neraca dagang terburuk sepanjang sejarah ihsg anjlok cnbc indonesia,0.0,neutral
"IHSG Lanjut Mendaki, 10 Saham Ini Cetak Untung Tinggi, Selasa (3/12) - KONTAN",https://news.google.com/rss/articles/CBMingFBVV95cUxOeTd3eUhicGdqclVIYjkzWnZBdlBNcHgzeGF0aDNxN2Jjd25Cb3hyX0RvcDVBMlM5WURQa1ZfQ3RITzI4MTB0QndTM2hJVTVUMWZKSUtjcFpZT2dEckVjamVTdWx0X2hNSEh0d0ZqdmVwYjJvLURWdUEwQUV2U2RQY0xTNklBSkQ4NUNaUWlEYzgwQWhOanE3TmZEaGdPUQ?oc=5,2019-12-04,KONTAN,Ekonomi,ihsg lanjut mendaki saham cetak untung tinggi selasa kontan,0.0,neutral
"Tujuh saham turun, Ini 10 saham LQ45 PER Terendah (2 Agustus 2019) - kontan.co.id",https://news.google.com/rss/articles/CBMioAFBVV95cUxNWGRoMFZ4ZXFOb3luemhoRkJkTjVSSUo3SnQ1eC1TeWFnNFg3Y1dmLWE0cENaTEo1ZGk0NF9QUk9OUkFYTldNR3pEZ182MTQtYi0yZHZqdzdiTHN3dnJqWDRCeEg2T2V2ekhsU0taNXNRS2NsakZwMkVhbHBfUllTUU5vY25maVBrOGh5bDZrR2V5WDhxcTU5dmwyX0h1VTV10gGYAUFVX3lxTE5WZXJhUzNVNHRWaHYzVEpJaDlxTFF0M2lQQms5UnJiTkcxMGVzSjB0ZUFuMzR0d0tIX0JBT3ZYVnhyR2FuZ2xIZTRadHhZREtSQ1RSclRvSUZLckRJamF0aUU1YjZ5QzFkRkQ2SjZUemhJeUs2QUVLUTRIVE54Mk5qQk5VYjVsQWJqVElQV19pLUl4NlBZLXBH?oc=5,2019-08-05,kontan.co.id,Ekonomi,tujuh saham turun saham lq per terendah agustus kontancoid,0.0,neutral
"Tenang! IHSG Pernah Anjlok 10% kok, Ini Catatan Sejarahnya - CNBC Indonesia",https://news.google.com/rss/articles/CBMitwFBVV95cUxQNWJMbm9wWWJPaWxnVUtDTmZQN1BXQUVndHR3azNaSGxJT0FOSDRSS3Q3ZXMybEdZV05mUzFWa2RMMWdBRFVDbGRWc1lOcjkzWVlKZkZDbXkteGNiYlRyTFh0ajE2UVMzdkRLb1RYbUw4Z0pDdXdPQ2ZUZ0wyWHZkV2RITlVKTW9RSHR6N3BTNXBBaERiV3NWQmZUVmdEMGVvNWJ0ZXowbHEwWHlvbDVjWkhmM3ZmbFU?oc=5,2019-05-14,CNBC Indonesia,Ekonomi,tenang ihsg pernah anjlok kok catatan sejarahnya cnbc indonesia,0.0,neutral
"IHSG berpotensi naik, ini rekomendasi saham Binaartha Sekuritas - kontan.co.id",https://news.google.com/rss/articles/CBMinwFBVV95cUxOdDVrOE5RUkdDYWVrQWliRHJzRl9jWm5aSnhpS2JWcXZMS1I1eFlCUUVocldxWUZLeVh4aVUyY2djOVV4My00SnhjNEZhQ3Q5ZUlRUTJXMXA0RnpWRnE1d1kteGtGVTlIX3Y1bWtoSWl4bkdwTWgxNmhzM19KX0Vsam5PNlJxeVFsSlRhV2pWbGRxa0RXZ3pMWlcxa29lSmPSAZcBQVVfeXFMTUtzNzk5LWQxeXpaLThDUk1UTXhoQkV5Z0pNVGFQZ25hV3gtT2EwVDBCSlExTWF4SzNFRHl2VXRKZVp5ZmV4MVkzMlpCS2JOVGVVR2NkNW5aTlpCSFR0Qy11SkpIenY4b1lZRC1zUjM3QWZJN0EwR2tYamtHcE1XVHpDT01lNmJoQXd4OElOTDV0R2dvclM3Yw?oc=5,2019-09-19,kontan.co.id,Ekonomi,ihsg berpotensi naik rekomendasi saham binaartha sekuritas kontancoid,0.0,neutral
Begini prospek 10 saham pemimpin bursa menurut sejumlah analis - kontan.co.id,https://news.google.com/rss/articles/CBMinwFBVV95cUxNXzYxOG4tU0ZoUnFNTjN3NlRtUW9ENFU4emx5MHowMWF2ZDBvMlNtQ1AwWVpqdWdPa1E5SGthckNEY3VVS2FxY3ZjaVNLVU5lSEhOczk4ZnRlLThBbm01Wmc5Q3Nfa05nOTg3Q05pdi1hbXRZZmluQjdvcW5feXFHdnlaMHlEQ21YbC0taFdIeUFRdExUekliam84bVA3MkXSAZcBQVVfeXFMUGtScDlnSmlQNElnSmNyNjlBVTFQNUJmTERYOURrX2dqRUlPbEtSR2xtYksyd2ZhVnctWHFoYWRZNmVvZzBPZnkzWld1Vk9OR0JUbDdscEZwSzA0YXJzYjQ4aVhTVDVwLVV1OWloU2xOM2ZwMUFBYlVUWGlRV1hWanVKbi1mTHNWQkd3d19FRHE5RVdxRHVRQQ?oc=5,2019-11-19,kontan.co.id,Ekonomi,begini prospek saham pemimpin bursa sejumlah analis kontancoid,0.0,neutral
IHSG Sesi I Ditutup Merah - kumparan.com - Kumparan.com,https://news.google.com/rss/articles/CBMifkFVX3lxTE5lT1JILVlsVXVQSVM4SGVpV1BiTGl3OG41a3hqZ0NaVWJRT0EzSlhpSzZSZlRoczFfRFlqWlZHM1pQQ2JBTzk3dlV6VTdCWW9jcmNWYnU2eWQxMUdHaFFzUi1TMHlMa2staDNsZzBNUHVLQnNkamVPdnBYYzdTUdIBhgFBVV95cUxNdlpqTWpyc0dad2t0WWJENmk0MTNmdG5jSEg1VnVVejBkQVNWOGUwejRjMzBERnhXUGpJc016T2RKa2dudEFwS2hLaldmdnhWYTYxdmRLQm9tTjl1OUlTY1lPUUE1OENjMGRJSERUZVRocmRrYVFFODhpY3BtU01mbHU3Nzh4UQ?oc=5,2019-07-29,Kumparan.com,Ekonomi,ihsg sesi i ditutup merah kumparancom kumparancom,0.0,neutral
"IHSG Sesi I Ditutup Menguat Tipis 0,02 Persen di 6.343 - kumparan.com - Kumparan.com",https://news.google.com/rss/articles/CBMipAFBVV95cUxQRURzdjJLSlNoYk1maW9BYkQ5V3B4TDltaTR4a1NuUFJ3bmw1X25yejRXd21nb2o5WDEyWjVNZmgyT1IwZ1UzWVI2WXQzQ3U2dWRqTlIxcG9fMkx3Z1VYXzJKMFFOWElXNkFuSG1nekFzSXNaYzRmMzQ3a3lTWFFZbmRsS0cwMi1ILWVHMFliVEQ0X0UybFIxbzlmeXJPTy14eUFnUtIBrAFBVV95cUxQY0JHVjdLOUUyMjVtN0lwLVFqT1V5cURqRFJneXJFT1VpNnRkVVVIOExCVURqUmR2T3E3RnRlUlRmallmVlVzMmttQ2dGU3FGU3FuYkNBWDhVWGJpOGg3NURWLWlCcG1hamRQNVRORU1zeWFRaDZ2Q2R5aUhUMjJuemFRUUZvQ3lTSmVHOW1QNy1JOGZScHRWRFRCN3dFT2x1YnlEbktZYTFjZ21i?oc=5,2019-09-13,Kumparan.com,Ekonomi,ihsg sesi i ditutup menguat tipis persen kumparancom kumparancom,0.0,neutral
"Indeks Bisnis-27 Berakhir Melemah 0,42 Persen, Ini Harga Saham-sahamnya - market.bisnis.com",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPR3JlNFd0TE5OUEFELXloV19RalgwZm9RQWNfOXF0bkIwMV9EMWhjZnRqaVNrY1BETWdCRXJ4NmQ5QTgxeHgxNzdZRzdKOXlPVnhMNzM3a2tleVJpVkk1YVRCWVpaQWJPQmRELWU1MXlxWldJUmRzR0tLZkFXWUFsSmVzVHRhNkdXTlhlTmpjdEJmSFQtWjJtQWpCTFZUZ3NMWGJDNXpKLVVrdHRCZC0wQ3ZXQUZqWEJYakxv?oc=5,2019-10-03,market.bisnis.com,Ekonomi,indeks bisnis berakhir melemah persen harga sahamsahamnya marketbisniscom,0.0,neutral
"Ditekan 9 Indeks Sektoral, IHSG Ditutup Anjlok 1,07 Persen - kumparan.com - Kumparan.com",https://news.google.com/rss/articles/CBMiqAFBVV95cUxNd3JWMWlkeEVnUmJvU0JxRk1PY2tHTm9NbzFaNC1hZ3FvU0RzTVJKMHNJREVCN01FeWZzam5OczFjMkYtelZYcHR2Qkc5Z2otR1BJNUlMQXdvbEJYU2pBT1pZRkdXd1lhLTcybF84bVdickpmWk84bUJnTmE1ek8xRjBhUEJlWFRmUkszV2pNVmIwUFJsbV9iZzBiRnpFZGtXYnlxV1hENUnSAbABQVVfeXFMTlNDaTJRUEhEU3JlRlI2clNheFNtSHExMGVwbk1UMVJBQ3k5QjlZMWozaW5HU29yUjk0SW5IS1U3aGlpaV85alN1TkJ4UGJpcUphMTRlbENBQll1dXgwa3dXSnlrNW1EaDNoYzZPX1hidkVxS3RwU3BZejlqbzVRWmZhRmFaZWxVejFlYTd0RC1IQ1JrVFFsZXF5alQ5dDJDck9CemxVUVNHUHIzR3Z4dGw?oc=5,2019-10-31,Kumparan.com,Ekonomi,ditekan indeks sektoral ihsg ditutup anjlok persen kumparancom kumparancom,0.0,neutral
"10 Saham Paling Diincar Investor Asing Hari Ini, 15 Mei - market.bisnis.com",https://news.google.com/rss/articles/CBMipgFBVV95cUxPeGlIUUdOSTFDdS0zcDJObG9aZGp5eTNVVkVna3Q5QWNBSXItdTJnVEswMWdCWWZ3dDVPVFhneDBVbGkwWFY4bzcwVlpXeDJaWTFmX1VySjNUZmoyY3VHbWJ2YmV5TWxRWTctVmpZWjlGT0t6UXRkTW1kQzUwbTBXaHJKM1lBRUxxSG9oVGZnLXc4MFV6VnhNWkJ5MjFSWmgybGdTR01R?oc=5,2019-05-16,market.bisnis.com,Ekonomi,saham paling diincar investor asing hari mei marketbisniscom,0.0,neutral
"IHSG Anjlok, Analis: Kepercayaan Investor Masih Tinggi Karena... - Tempo.co",https://news.google.com/rss/articles/CBMinAFBVV95cUxNQkJVb3BYcVhHemxwVkw4Tkl3ZElLWFlMY2c1a0JWeU5pc25rblZFSDlRMU9paVhlNk1uYkJjbjd0b09JZTBFdUwtZnVOOGVRQ1h2X1h3b0VvNWctNzhTLVk4UE9UWWl3LUJvd0txLTFaT1VlMTkxMFdKUERWZ3dPZGsySUItN3U4a3RTOU5teUVzVVZJYUswXzJ3ck4?oc=5,2019-08-07,Tempo.co,Ekonomi,ihsg anjlok analis kepercayaan investor tinggi tempoco,0.0,neutral
Hari Ini IHSG Ditutup Menguat Didorong Peningkatan Bursa Global - Tempo.co,https://news.google.com/rss/articles/CBMioAFBVV95cUxPSTFiMHNnSUY5QVJtc0JWbFJoejBRMFlSN0RwaUtOZ3RnQ2pLZTVSa1BnRkVjU0Fzc0w3bE9HaEoyNkJEbC0tQ0J2cEE3N2NRZW1XaTNRaTFzWnNPRS1WemVJcktqNXd1cjhPVWNLYnkwQlAtZlRDYkVURjYwcnRZX2JoZkJTTWZkZHBQWjZ3TU1pbVc3WUJHa2NmZ0pkN0hO?oc=5,2019-03-14,Tempo.co,Ekonomi,hari ihsg ditutup menguat didorong peningkatan bursa global tempoco,0.0,neutral
"IHSG naik 2,91% di awal Desember, saham HMSP dan TLKM jadi pendorongnya - kontan.co.id",https://news.google.com/rss/articles/CBMi0wFBVV95cUxQWHdNNGlkWFdxRkJYWGlzTHFmUXRHTzFCTjd5Y1pfUkpTNTdvelBLMkVuTGRsSHFUWkRsY01ZS0ZQVU1ubkVoZmxnbENoc1F6SUFDbTZNdWhkdVA2eDZGUkFWUmtiS3hzaHJDdDlQLXVBbDJlWGE4M2FnTDFfMWtBX2txZm5tdzBZNUpna21VdTZ0cm1QcnBYekVHMjlwamQwSm1qNkF3Zm8yRW5icHhkYlRWQVplcTQtZHpaMmdWLWN3V1RSLTVMNDNOcVBpZW8ySFNr0gGfAUFVX3lxTFBpMUFkT0lzNDJFRDFQWXR3aWNvYlB4c1pmbERISlh1RC13MnJwdUlpaEFfSlhUU2JfZVN1dWNfZHpaVmxFbGFzbGkzOF9VQTZ1bEpVTFRHX3Q5dUFoRHl6amFoekIwSjBPeFhaUHJURFJaRGlNOUZYdEhLS1g2TGxNMnBERlI5S0lQSDd3SlpOQTZDLTlqcHdYeUltYzUzNA?oc=5,2019-12-08,kontan.co.id,Ekonomi,ihsg naik awal desember saham hmsp tlkm jadi pendorongnya kontancoid,0.0,neutral
IHSG menguat - ANTARA News Yogyakarta,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5SRUFFdEo4WDZ5STJaYkxkTDhNbmtEQ2NIdXRBUGRZdkk4ZkJ1b0g5allETnNUaE5KaTFXQ19lVzJMVENpZDVoQ0RkUjdXVTN2N1hoNndUSnJZdkZkNkVhZ0JFaWI4dw?oc=5,2019-08-19,ANTARA News Yogyakarta,Ekonomi,ihsg menguat news yogyakarta,0.0,neutral
"IHSG terkoreksi, cermati PER, EPS dan PBV saham emiten poultry dan ayam, Senin (2/9) - kontan.co.id",https://news.google.com/rss/articles/CBMitAFBVV95cUxQdWpsQzg2RWxtY1ZTWTBFdUtpM3c0dk1zNW85Rkw2TlFtUWtWWk1vN2hGMy1UTXZkdl9CbVhQRktyS2h4aU1ZOXFmNkF4VEJ2ajBiTEp5R1Z1TEx3SHJ6cTJEb0kyc0pBaVdZdEpGMld5WmFoenBQQ2poczFGa3hMNVJjSUlLUEpmbUV2Z2IwNzA1SjRfeEQ3R0k4cDJYOFpHOE9fX3h6ZWRpU1RtelpWRGVTemPSAawBQVVfeXFMTi1RMGxXRjl6aFJMdVR6VVFGSEtoZzNzeFZhRmg0TmhJbmk5bmlKRE9SRDhGSDFNS3N3SmlJcmp3Z055dDgtNHBWUEJ4VHpZd0hqdUNyTHRGcVBMYl91STRONnZ2NmJZZU45SFU5MjFRdVdqWms0YXd3VEpJS01zWW96VWZiNUdHVS1zdUNzOVcyU1NkWDQwMDJYLUxROVJNS21ybkN0OFZJXzR4Qg?oc=5,2019-09-03,kontan.co.id,Ekonomi,ihsg terkoreksi cermati per eps pbv saham emiten poultry ayam senin kontancoid,0.0,neutral
Sekuritas: Sentimen Global Dukung IHSG BEI Bergerak ke Zona Hijau - Aktual.com,https://news.google.com/rss/articles/CBMijAFBVV95cUxNQ0tqNkpsSDBsQnRVZG5TT2FaLXNwTUt0TlVpNjVtbW1oWnlGQjFkMnlTaEw4U2U4WXlnUHRmYUNNUWxRd1RaQkNiVS1xc0pHOVR2T2JjYkVla0s2cjRUSnRRZjVHRmkzeDFNc3FZYlRESmM3bTI5T1VCYXdyWHFmU1loc1pYaUwwOFA0WQ?oc=5,2019-04-02,Aktual.com,Ekonomi,sekuritas sentimen global dukung ihsg bei bergerak zona hijau aktualcom,0.0,neutral
"Dibuka Menguat di 6.273,91, IHSG Langsung Berbalik Arah - Liputan6.com",https://news.google.com/rss/articles/CBMinAFBVV95cUxPU2NFUzNDWkZXcmZzUlNNNC1XcE5HOUV6bVBmcUhKanAxNHZ2SEJOOC1kNGl0M3dEZzNvS3BzSkx4T281QXhwWFJta0dOZ2Iwd3dzRGxsa1JpTkRZZkd6Qk8tVk1XOWZ5ZGRJMVBWOGV0VEM4UlBmeFAzdk42bDZiWWY2RHdFOVRZWFUzRHlkbEoydUNzMWVFOFN5Wm_SAZMBQVVfeXFMTnRBWHNWQVpFOUNWQWl6dU5YNWY3bE14RHgwZFd4TG1tNS1YcFFlOTdPV0x6Qk5BSFA3YnFwRlNpd29zYkFqVld5SV9UbV9RMmc1cmVSMm1PenljRkFrckhZcXd6UjlxbmFONGplMnB1bFgwaWVtY3JxbUJBZ01Va1ZKckxFbExXbjRwTWxXbDk4dWpz?oc=5,2019-11-06,Liputan6.com,Ekonomi,dibuka menguat ihsg langsung berbalik arah liputancom,0.0,neutral
"Investor Asing Borong Saham, IHSG Menguat 66,80 Poin - Liputan6.com",https://news.google.com/rss/articles/CBMimgFBVV95cUxOa2RCYS1qUnhzLV8yWEJnT3paaHRSRjVFUkg5amJCTjhPdm5RZmlIV0IyQnRCeU5uN2UycHBKSjBud0NkTDRXSTBPWFpCMjJVQW43bmxaZ3JscUMzTlpQYmlsQnNRUWFLRU96MXBaaGpZa09QUXE5NVoyUWp0akdkd2ZqeUhUTFhGSnhvU1J2MTBrR2c3TE9iQnBn0gGQAUFVX3lxTE9CbFdXOTB6MmtLUEtYUDhEbXQwNUlFMFJUbGFoLUxHQ2FmcEZpWldpZUhmcjA3NkxaYjhLNDF0QWVRbWxOaHExM3NxeWxJeEc1SjRGWGlzV3U1dTBXaFFpd0lnR2ZkdWh2SUZLaUZCTll4NktFSUJlb0VIdHpYUnNZZzRnX0d2Rkt5NXptZWpJXw?oc=5,2019-06-18,Liputan6.com,Ekonomi,investor asing borong saham ihsg menguat poin liputancom,0.0,neutral
